0,icao_code,1,name_eng,2,city_eng,3,country_rus
NTHE,NTHE,Ahe Airport,Ahe Airport,Ahe,Ahe,Франция,Франция
,,Municipal,Municipal,Arapahoe,Arapahoe,Гватемала,Гватемала
KAHH,KAHH,Municipal,Municipal,Amery,Amery,США,США
WAPA,WAPA,Amahai,Amahai,Amahai,Amahai,Индонезия,Индонезия
SYAH,SYAH,Aishalton,Aishalton,Aishalton,Aishalton,Гайана,Гайана
KAHN,KAHN,Athens,Athens,Athens,Athens,Греция,Греция
LIEA,LIEA,Fertilia,Fertilia,Alghero,Alghero,Италия,Италия
,,Ahuas,Ahuas,Ahuas,Ahuas,Гондурас,Гондурас
PHKO,PHKO,Amchitka,Amchitka,Amchitka,Amchitka,США,США
GMTA,GMTA,Charif Al Idrissi,Charif Al Idrissi,Al Hoceima,Al Hoceima,Марокко,Марокко
,,Ambatolahy,Ambatolahy,Ambatolahy,Ambatolahy,Мадагаскар,Мадагаскар
LFHU,LFHU,Alpe D Huez,Alpe D Huez,Alpe D Huez,Alpe D Huez,Франция,Франция
KAIA,KAIA,Alliance,Alliance,Alliance,Alliance,США,США
KGRK,KGRK,Anita Bay,Anita Bay,Anita Bay,Anita Bay,США,США
,,Airok,Airok,Airok, Ailinglaplap,Airok, Ailinglaplap,Маршалловы острова,Маршалловы острова
KAID,KAID,Municipal,Municipal,Anderson,Anderson,США,США
,,Aiome,Aiome,Aiome,Aiome,Папуа - Новая Гвинея,Папуа - Новая Гвинея
SBAS,SBAS,Assis,Assis,Assis,Assis,Бразилия,Бразилия
FEFY,FEFY,Yalinga,Yalinga,Yalinga,Yalinga,ЦАР,ЦАР
OPKC,OPKC,Aiambak,Aiambak,Aiambak,Aiambak,Папуа - Новая Гвинея,Папуа - Новая Гвинея
HDAS,HDAS,Alisabieh,Alisabieh,Alisabieh,Alisabieh,Джибути,Джибути
KAIK,KAIK,Municipal,Municipal,Aiken,Aiken,США,США
,,Ailigandi,Ailigandi,Ailigandi,Ailigandi,Панама,Панама
,,Ailuk Island,Ailuk Island,Ailuk Island,Ailuk Island,Маршалловы острова,Маршалловы острова
PAWI,PAWI,Wainwright,Wainwright,Wainwright,Wainwright,США,США
KAIO,KAIO,Municipal,Municipal,Atlantic,Atlantic,США,США
,,Ailinglapalap Island,Ailinglapalap Island,Ailinglapalap Island,Ailinglapalap Island,Маршалловы острова,Маршалловы острова
,,Aripuana,Aripuana,Aripuana,Aripuana,Бразилия,Бразилия
NGTR,NGTR,Arorae Island,Arorae Island,Arorae Island,Arorae Island,Кирибати,Кирибати
NCAI,NCAI,Aitutaki,Aitutaki,Aitutaki,Aitutaki,Острова Кука,Острова Кука
NCAT,NCAT,Atiu Island,Atiu Island,Atiu Island,Atiu Island,Острова Кука,Острова Кука
KAIV,KAIV,George Downer,George Downer,Aliceville,Aliceville,США,США
OPKC,OPKC,Ai-ais,Ai-ais,Ai-ais,Ai-ais,Намибия,Намибия
KAIY,KAIY,Bader Field,Bader Field,Atlantic City,Atlantic City,США,США
KAIZ,KAIZ,Lee C Fine Memorial,Lee C Fine Memorial,Kaiser/Lake Ozark,Kaiser/Lake Ozark,США,США
LFKJ,LFKJ,Campo Dell Oro,Campo Dell Oro,Ajaccio,Ajaccio,Франция,Франция
